        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [?C] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] , PerfCap Reason [] , VDDC [V] 
25-02-18 8:57:31 AM,885.5,405,40,0,0,0,0,4,0,3,0.631
25-02-18 8:57:32 AM,139,405,40,0,0,0,0,4,0,3,0.631
25-02-18 8:57:35 AM,139,202.5,40,0,0,0,1,0,0,16,0.625
25-02-18 8:57:38 AM,139,202.5,40,0,0,0,0,3,0,1,0.625
25-02-18 8:57:41 AM,139,202.5,41,0,0,0,0,0,0,16,0.625
25-02-18 8:57:44 AM,189.5,202.5,41,0,0,0,0,1,0,16,0.625
25-02-18 8:57:44 AM,189.5,202.5,41,3,0,0,1,4,0,16,0.625
25-02-18 8:57:50 AM,139,202.5,41,0,0,0,1,0,0,16,0.625
25-02-18 8:57:58 AM,139,202.5,41,0,0,0,1,0,0,1,0.625
25-02-18 8:58:07 AM,139,202.5,42,0,0,0,1,0,0,16,0.625
25-02-18 8:58:12 AM,139,202.5,42,0,0,0,1,0,0,1,0.625
25-02-18 8:58:13 AM,139,202.5,42,0,0,0,0,4,0,16,0.625
25-02-18 8:58:15 AM,139,202.5,42,0,0,0,0,0,0,16,0.625
25-02-18 8:58:18 AM,139,202.5,42,0,0,0,0,2,0,16,0.625
25-02-18 8:58:20 AM,139,202.5,42,0,0,0,0,0,0,16,0.625
25-02-18 8:58:22 AM,139,202.5,42,0,0,0,0,0,0,1,0.625
25-02-18 8:58:26 AM,164.5,202.5,43,0,0,0,0,1,0,16,0.625
25-02-18 8:58:31 AM,139,202.5,43,0,0,0,1,1,0,16,0.625
25-02-18 8:58:46 AM,139,202.5,43,0,0,0,1,0,0,1,0.625
25-02-18 8:59:00 AM,139,202.5,44,0,0,0,0,0,0,1,0.625
25-02-18 8:59:02 AM,139,202.5,44,0,0,0,0,0,0,16,0.625
25-02-18 8:59:04 AM,139,202.5,44,0,0,0,0,0,0,16,0.625
25-02-18 8:59:11 AM,139,202.5,44,0,0,0,1,0,0,16,0.625
25-02-18 8:59:14 AM,139,202.5,44,0,0,0,0,1,0,16,0.625
25-02-18 8:59:15 AM,607.5,202.5,45,0,0,0,0,0,0,16,0.625
25-02-18 8:59:17 AM,139,202.5,44,0,0,0,0,0,0,1,0.625
25-02-18 8:59:19 AM,139,202.5,44,0,0,0,0,0,0,16,0.625
25-02-18 8:59:22 AM,139,202.5,45,0,0,0,0,4,0,1,0.625
25-02-18 8:59:24 AM,139,202.5,45,0,0,0,0,0,0,16,0.625
25-02-18 8:59:27 AM,139,202.5,45,0,0,0,0,2,0,1,0.625
25-02-18 8:59:30 AM,139,202.5,45,0,0,0,0,3,0,16,0.625
