        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [?C] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] , PerfCap Reason [] , VDDC [V] ,
19-02-18 10:08:54 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:08:55 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:08:56 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:08:57 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:08:58 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:08:59 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:01 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:09:02 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:03 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:04 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:05 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:06 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:07 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:08 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:09 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:10 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:11 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:09:13 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:09:14 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:15 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:16 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:17 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:18 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:19 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:20 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:09:21 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:22 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:23 PM,139,202.5,46,0,0,0,0,0,0,16,0.625,
19-02-18 10:09:24 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:09:25 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:26 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:27 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:28 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:29 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:30 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:31 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:09:32 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:33 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:35 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:09:36 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:37 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:38 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:39 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:40 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:09:41 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:09:42 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:09:43 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:44 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:09:46 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:47 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:48 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:49 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:50 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:09:51 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:09:52 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:09:53 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:09:54 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:09:56 PM,1063,1499.8,46,4,1,0,0,0,0,3,0.65,
19-02-18 10:09:57 PM,1063,1499.8,47,0,0,0,0,0,0,3,0.65,
19-02-18 10:09:58 PM,1063,1499.8,47,0,0,0,0,0,0,3,0.65,
19-02-18 10:09:59 PM,139,202.5,47,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:00 PM,139,202.5,46,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:01 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:02 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:03 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:04 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:05 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:06 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:07 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:08 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:09 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:10 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:11 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:13 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:14 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:15 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:16 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:17 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:18 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:19 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:20 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:21 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:22 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:24 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:25 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:26 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:27 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:28 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:29 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:30 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:31 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:32 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:33 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:35 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
